Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
The Crowned Clown,Wang-i doin nam-ja,TV Series,2019,N/A,1h 20m,16,1,N/A,8,1.6K,https://www.imdb.com/title/tt9266592/mediaviewer/rm166950656/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3288056601/1434659607842-pgv4ql-1636370154362.mp4?Expires=1730702977&Signature=QZs526Lw37dVtAdBBPgBSO7sBdLJTxSTDnPyec7Q7R1dCgR4bDx3lgJU8oC5xqglPosNrx6jyMQI8YefJb3vNFOeIm6cASBop6EdK4nwY4TM7k9KhdHkAtg4t0hK4rqzQlpG80e7lQEq6TbStm~1FOSnT8-~VJ7HQblwBE1er0ItRxpGzar1xZfNVWCjQDi4wEwu6sNBZtYJMQRnpw0dYb5qNbHFe6SpghPSujOzcwPC0ESpn9jy7ZRbEJKBlWxZ-n4IzCURBH9WpCvESamzxle5mrnHe6L~7uxKwLV7CIkPGNHmybEAvPPKD0F7Bz6QtONdWNqnpeQ638K7scMxaw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, History, Romance","The story takes place in Joseon period, when power struggles surrounding the throne had reached extreme levels. In order to escape those who plan to assassinate him, the King puts a clown, who looks exactly like him, on the throne.","Yeo Jin-goo, Lee Se-yeong, Kim Sang-kyung",
Live,Laibeu,TV Series,2018,N/A,1h,18,1,N/A,8.3,1.6K,https://www.imdb.com/title/tt7976532/mediaviewer/rm314657280/?ref_=tt_ov_i,N/A,"Comedy, Crime, Drama","The drama revolves around the incidents that occur among the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice.","Jung Yu-mi, Lee Kwang-soo, Bae Sung-woo",Watch on The Roku Channel (https://therokuchannel.roku.com/details/0a34c2ffd02e506e9335c106817de370)
Call It Love,N/A,TV Series,2023,TV-14,1h 10m,16,1,N/A,7.7,1.5K,https://www.imdb.com/title/tt26228312/mediaviewer/rm2162438401/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1727382553/1434659607842-pgv4ql-1677618066874.mp4?Expires=1730700467&Signature=Snk6alw40p7NmQ2wXAJGWp6oRN0cliLrkY5TS9nx4QfRgf1xu7QZUZ4qkMq67c9yaabxdkSO8AWQu9mH5i2bHN7jaLwMq2rIG3WjHdGWIeAeq~EQ-W6jwt7TjWiPndy1dSDbktFXAsUXlkITAFzWo4iWPxSKRChXC-UwBI~1RqjtVb8p3MSDevPRyJDymgJpWGxgY2lIJe42psIKF7iwcWWSjR1WAJcVCRXhX-jAqgDhwmSUiP6MZyVOoquq9smQdR6dbgzpj-MAfSm-~LK7ABPkM6T68ZgA3juI4zb7B0OwCEnfFqfxTOFJukqEEYlwYYvIOzoEKWAFlE-rjqxa4A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Romance","A woman thinks of revenge after her life halts at crossroads but instead starts empathizing with her mark. It's a melodrama of love, forgiveness, empathy and tragedies.","Kim Young-kwang, Lee Sung-kyung, Sung Jun",Watch on Hulu (http://www.hulu.com?d=Amazon)
The Golden Spoon,N/A,TV Series,2022,N/A,1h 20m,16,1,N/A,7.5,1.5K,https://www.imdb.com/title/tt22248234/mediaviewer/rm812122881/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2404106777/1434659607842-pgv4ql-1664533624651.mp4?Expires=1730700200&Signature=iIgPnp1IW2lcq2uwXohOHw6b7lnBOkDTj2GKhsny877esB3I3z9C89kZ2h-TazrnvUFZB5V7Gsn4nvavhXUIlhrMfpdD0NCsXAkAR8hu1aUeAgwZY~sKoG7gLwhZ3kEcUprMU2nGeSSYsfpe3ljXzxYrgajlk8lruiydCeZsKqmISX45Tn-ZO9H5ez08Cbk9~IZK0sxYiS7XV9zN01ZPAI1HyHYhlU6lAL0v59PwYjPJGwcJY7G1nQCLAzLF68XJKnVRYaRsP5ruiCooXTv0uszA2DFSIXIWw9L5yKLEAdvui1UrIkn4~DZ-g9AMFU93nFIm1hcEce9tLVFx-x-qrQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Fantasy, Mystery, Romance",Seung Cheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend. Now he has to decide which of his two possible futures is worth keeping.,"Yook Sung-jae, Lee Jong-Won, Jung Chae-yeon",
Lovers of the Red Sky,Hong Cheon Gi,TV Series,2021,N/A,1h 10m,16,1,N/A,7.6,1.5K,https://www.imdb.com/title/tt13776460/mediaviewer/rm3875732481/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1052689177/1434659607842-pgv4ql-1631804129984.mp4?Expires=1730703481&Signature=ObjfD1RUHm2G5yPsUrYIwwwYsIItpHUIMKG5rLwbYEsV4JCx0WBIxUsPRMfB1d79tsYnJnhT-m~JkzqMf4yro5PluJivlgYwe5k1IFgmxVppMuLXzOGelLNH-paY~0eqsjESpM~bIDqy56OpZ9rXjaHzfnlY45-Mt~7-TmMdBhXZeg-Gs7MOvDgGCuxXY4JXhlHGyWG0WZyTCXpbqTi5T-N61WsUXYFF7cKquoJcqcVjOMjjht~sF~6o-al9Ufq7Pxpo4BQ22TkC~mSjyOF7FDwDA-PndQ92OxZDYl8g909MigTsmzD4OG2L~7R83xY3k8r5Hu0X13kqEK0sI-jMeQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Supernatural Fantasy, Drama, Fantasy, Romance",Hong Chun Gi is a female painter with magical painting talent. She is picked as the first female painter. One day she meets Ha Ram whose curse has some magical connection with her talent.,"Kim Yoo-jung, Ahn Hyo-seop, Gong Myoung",
Jirisan,N/A,TV Series,2021,N/A,N/A,16,1,N/A,7.3,1.5K,https://www.imdb.com/title/tt13400300/mediaviewer/rm1987048961/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2106376985/1434659607842-pgv4ql-1635219457746.mp4?Expires=1730703669&Signature=XoW6P~oNwyrQv-L6XGK0AlnB1rjy4sBqXprP43CBexN1hbZAZWaSqBjWaez1Xcw1zOM9xJLKKAl~H1WXd3BbQ1EUu01BS2rGTceZos6NIKm3hD4gJGgX-SP6uc0jJL8YKRA0-PtRClnwwyTSDoTJ-UBMq-AqO7UTKUlJavMt7oIkGzPial87hxxz8kKRDQ0AYVedk1j1RuM59d9wJ4gYtnNcKwyokOBQJaPTTMnQsUNsWySEHJ042ze382PxkFveOOH9g7AaZNJpY22~rtQQ1PJcC~h-QSGTy5-5qScafpiRcU3e8XDu-Sm7NOlpVFiH7~XkLOiz1PKWavh7hKgbgQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Action, Drama, Mystery, Thriller","Set against the backdrop of towering views of Mount Jiri, it depicts the story of rangers and other employees of the Jirisan National Park who climb through the mysterious and unexplored regions of the mountain.","Ju Ji-hoon, Jun Ji-hyun, Jo Han-chul","Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.c00db04f-272d-4fc1-b968-af6e950bcd1a), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.c00db04f-272d-4fc1-b968-af6e950bcd1a)"
Memorist,Memoriseuteu,TV Series,2020,N/A,1h,16,1,N/A,7.6,1.5K,https://www.imdb.com/title/tt11953100/mediaviewer/rm167034625/?ref_=tt_ov_i,N/A,"Fantasy, Mystery, Thriller","Based on the hit webtoon of the same name, ""Memorist"" is a mystery thriller that tells the story of Dong Baek, a detective with supernatural powers.","Hoo Jae, Yoo Seung-ho, Lee Se-yeong",
Come and Hug Me,Iriwa Anajwo,TV Series,2018,N/A,35m,32,1,N/A,7.7,1.5K,https://www.imdb.com/title/tt8269398/mediaviewer/rm3219803392/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2668742169/1434659607842-pgv4ql-1720875469476.mp4?Expires=1730703435&Signature=aa57HVe2QA4JdZKIbUkjW7ph9friyybR~0Ol1VwnM0Xpqgd1zrljHyNSu~QUz90Z8zhChHuE~CL5upwR-rCc-R0ffEws56K1dokFU5m7S~bOVuEfNXcojv~nDwZUFEevKyznApYBbgpFvX4oEK~1OyYX~I5a1nmxHE9-BF~epHlvFz0Uh~lO2XPlM9RfCn1~ZndLuewEKwDKsKpM2Yk4vUxI0aK3T1-VIhhnFw05bpzm8tPl2Qiz-ts1W~cz13YKY7B7PyzCcz3MfobkoQPbytJ7N3v~rn5rrqlY0dGr7DIPhqg0UFCUfJsbyarmAJ4bCcfyZ36oghckWAwWyeRvrw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Crime, Drama, Mystery, Romance","A dramatic drama depicting the love of a man and a woman whose lives are linked because of a murder since young age. Despite an unfortunate destiny and the stigma and pains, they will try to be happy and heal their wounds.","Jang Ki-yong, Jin Ki-joo, Huh Joon-ho",
Wok of Love,Gireumjin Mello,TV Series,2018,N/A,35m,38,1,N/A,7.5,1.5K,https://www.imdb.com/title/tt8236528/mediaviewer/rm4281746176/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2095104793/1434659607842-pgv4ql-1636627193105.mp4?Expires=1730703550&Signature=gGgEdvHv8IlwCXSOB~I3tzIyxFxmj0bZBw1lMozwQhpCGzYz-IJVWwGG1kwASOxa6nZA39JY2dGHL0hD03sWssNFVlA2QTyIQPLkb5P0hI8-T2XSw7juwkZTkUL8HMMEOnX9c9dVWTrAZ0tzapbq236ilLq2nyDjhMLdON1fyVUqFVJX1eADV7nz-ApJJiJhKNofYbytlpAz8geGLV05ehrHAORHMBHXp~oV~TS2haJ7ZTOUDpR9HJFhksPACY5gZS5JXP7JUgm8nBcI9BOl3wJlvABxb-XM~YfFsWaU~llGwCdlfkl-pMZHsL6TJ47KM-YRsIAF5AtoxayF2Du7GQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Romance","Set at a small Chinese restaurant, ""Wok of Love"" follows Seo Poong's attempt at survival, food and love.","Lee Jun-ho, Jang Hyuk, Jung Ryeo-won",
My Strange Hero,Boksooga Dolawadda,TV Series,2018-2019,N/A,35m,33,1,2,7.3,1.4K,https://www.imdb.com/title/tt9165992/mediaviewer/rm2597615104/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi344965913/1434659607842-pgv4ql-1635415805270.mp4?Expires=1730703676&Signature=fVKCFtnXqm9xuu7Vld3lGdkuZxaH0xeaOpsXm5yU~jpEQx~uEUPcdG4altbHOY3knXgO7QhX~I9OI9wvkUVOyAjdJcJtVsyQcO641dfOHBjfCuiVCwKwCI3GJC37qN1OUP2SV1sEFQg9aA8q0qkVB59OurDpdocppSIKY6EjNgrqn8fo5zaOrMaEvPMl~u-grqYleUKo2UD3yJ8XRW9u2yn6EtZKmUdfiobQ-dk0MTGWwefnU1XwKSKJ5ygvr~2jZQxUIRXGhBTz2XKheg~ecGXjgYsfyK-Kk5Gm064IvzGvvZmJrsdtHsWOAriJAFPcpZUqbSN2NlG0rIa1VYNaLg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama","Falsely accused of violence in high school, adult Kang Bok Soo returns as a student to get revenge on his first love and classmate who caused his expulsion. He gets caught up in the changed school's dynamics.","Lee Kang-Min, Yoo Seung-ho, Jo Bo-ah",
Captivating the King,Sejak,TV Series,2024,N/A,1h 10m,16,1,N/A,7.7,1.4K,https://www.imdb.com/title/tt29833806/mediaviewer/rm99305473/?ref_=tt_ov_i,N/A,"Korean Drama, Political Drama, Drama, History, Romance","A work that deals with the cruel love story of King Yi In, who is in a political crisis, fighting for the throne, and Kang Hee-soo, a secret agent who approaches Yi In for revenge but ends up being enchanted.","Jo Jung-suk, Shin Se-Kyung, Lee Sin-young",Watch on Netflix (https://www.netflix.com/watch/81742988)
Alice,Aelliseu,TV Series,2020,N/A,1h 10m,16,1,N/A,7.1,1.4K,https://www.imdb.com/title/tt12873628/mediaviewer/rm3677924609/?ref_=tt_ov_i,N/A,"Drama, Fantasy, Mystery, Romance, Sci-Fi",The story of detective Park Jin Gyeom who comes to know about the existence of time travelers while investigating a mysterious murder case.,"Kim Hee-seon, Joo Won, Lee Da-in",
Kill It,N/A,TV Series,2019,N/A,1h,12,1,N/A,7.7,1.4K,https://www.imdb.com/title/tt9772814/mediaviewer/rm1536912640/?ref_=tt_ov_i,N/A,"Drama, Mystery, Thriller","Do Hyun-jin investigates a serial murder and meets Soo-hyun disguised as a veterinarian. Bound by fate, the two set out to solve the connection that has linked them.","Jang Ki-yong, Im Jin-ah, Roh Jeong-eui",
Where Stars Land,Yeowoogakshibyeol,TV Series,2018,N/A,35m,32,1,N/A,7.1,1.4K,https://www.imdb.com/title/tt8991740/mediaviewer/rm150306560/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1207354137/1434659607842-pgv4ql-1635927625541.mp4?Expires=1730703802&Signature=OpsD40~KqwITx~4Ejo0TpkFAUS-RJzZvBsyO4cuUvG2TNvjDY5bwTPSlmPYYCuI1RByUKKtUEzEo~XGbdlfrg8anwDAHA1p8Uw6GZ31MnCurwF8t~A-B3ma6oMN5B5A0K2qhoZcPXJCWeflxILrkOD2fLCGzVtWWBp4Wbsg0RsjuBB1pa~PAz~6a9o3u~pGbC8W4j3uI4C4yqizMHRNFzSKDYdLFhojMgfoQDh8EepcUsmxXuxoYeaXXFlbjxvW795fitS7TSgg7dZKe-BTT4Idq4zbWkLCzHMi~4zH8mITTbBvFJA-AiJDqNdU9xY6AE8HfdKY2GraHi2xAB6293Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance",Two people overcome ups and downs in their lives to find true romance and make dreams come true at Incheon International Airport.,"Lee Dong-geon, Kim Ji-Soo, Jang Hyun-sung",
Tomorrow with You,Naeil Geudaewa,TV Series,2017,TV-14,1h,16,1,N/A,7.4,1.4K,https://www.imdb.com/title/tt5994346/mediaviewer/rm2364684544/?ref_=tt_ov_i,N/A,"Korean Drama, Drama, Fantasy, Romance","The drama tells the story of Yoo So-joon, who can travel through time by a subway. After seeing his future-self living miserably, Joon decides to marry Ma Rin in order to avoid that fate. As time passes, he learns to love her selflessly.","Lee Je-hoon, Shin Min-a, Jo Han-chul",Watch on The Roku Channel (https://therokuchannel.roku.com/details/66e0885d68ad54d6a127ba76e9d33dd4)
Awaken,Najgwa Bam,TV Series,2020-2021,N/A,1h 5m,16,1,2,7.5,1.3K,https://www.imdb.com/title/tt13273550/mediaviewer/rm726784257/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi965722905/1434659607842-pgv4ql-1635424391058.mp4?Expires=1730703547&Signature=Y-hwDVezoGhZ4xlaA2CJeN6WX2k3hz6v8ibuLwVtROFdsBBfndNJcTZ~RrgUxbQzwPnzy43BFKPMTcFAfRMaYLA1kY7VttKH8H-CPjvKYZCdcuM816lSTOd6lXPSbkjQbHDuLNkwLc4sXj4HkH~N~81xwSeCdGkdrwOutwVT0BBX2CN6glaTTTZ0xL~~1tQPMp8qpAk17P35foVnuezVNoQkfdZg9jpQi~SqdC3j1OtqL6sYLuPj96JvQjz6MLX9x0EpOrMZ5cktYxq~myaIUNMRsygAtYJqPDRYNFFSQ0TG07MKHVmOqkJvpeq-2EJrRhjAY1zN20iNr-GM~qKJ7g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Crime, Drama, Fantasy, Mystery, Romance",It's a story about what happened in a village 28 years ago that relates to the string of murders that have been occurring in the present day.,"Min Nam-koong, Kim Seol-hyun, Lee Chung-Ah",Watch on Netflix (https://www.netflix.com/watch/81357304)
True to Love,Bo-ra! Deborah,TV Series,2023,N/A,1h 10m,14,N/A,N/A,7.6,1.3K,https://www.imdb.com/title/tt26763160/mediaviewer/rm3266194177/?ref_=tt_ov_i,N/A,"Romantic Comedy, Comedy, Romance","A romantic comedy between Deborah, the greatest love coach, and Lee Soo-hyeok, a publishing planner who has difficulty loving.","Hong Hwa-Yeon, Yoo In-na, Yoon Hyun-min",Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.b3e283f4-823c-4b4d-a1c2-3568be175ec5)
"At A Distance, Spring Is Green",Meolriseo Bomyun Pooreun Bom,TV Series,2021,N/A,1h 5m,12,1,N/A,7.8,1.3K,https://www.imdb.com/title/tt14518430/mediaviewer/rm3577923073/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1273021209/1434659607842-pgv4ql-1636616805484.mp4?Expires=1730701004&Signature=bpncTl4DONbia9SA53hM0ahzMjBgKSCR1cdqXnYGeFI4zUVVUbDKq9YzBEE8s32LzIOYD4WA64I~yTo9y0~feq-7nBxvz6jRF4ygiP1-OD6wOyMQJyhRLI4JkwRv0PTo4b9~xu2-iod1Os47Vdi237bdA~mcBRYouD2nzb4MTJ75TbgUvQnum8NWhvWiIIaT6hw2qpHSybPAPkIXz-i42No-YV~b1A3TobH9nyFgntuBylXmCOEiP0Hya~1WESSTClE8rm8parJjm5mb7t-rqYx5XqVLY0DvKTStUA4jk7jCDCSrFtGjhOkKopJ782DkJo18lNdqyU1r025pK-XNvg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Drama, Romance",A coming of age campus story about youth in their 20s whose lives appear to be like the beauty of spring from afar but cold and harsh when viewed up close.,"Park Ji-hoon, Kang Min-ah, Bae In-hyuk",
The Veil,Geomeun Taeyang,TV Series,2021,N/A,1h 10m,12,1,N/A,7.6,1.3K,https://www.imdb.com/title/tt14482296/mediaviewer/rm3117219585/?ref_=tt_ov_i,N/A,"Korean Drama, Action, Crime, Drama, Mystery, Thriller","A spy investigation show with a story about a top National Intelligence Service (NIS) agent. In his endeavor to uncover the internal traitor that brought him to his downfall, he confronts a much bigger enemy behind the organization.","Min Nam-koong, Park Ha-seon, Kim Ji-eun","Watch on Hulu (http://www.hulu.com?d=Amazon), Watch on The Roku Channel (https://therokuchannel.roku.com/details/497116d24a815316b4780b147f4b96d2), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.50a9f786-e949-739c-0734-4b4816f61bd6)"
Train,N/A,TV Series,2020,N/A,1h,12,1,N/A,7.8,1.3K,https://www.imdb.com/title/tt11827694/mediaviewer/rm1222815233/?ref_=tt_ov_i,N/A,"Fantasy, Mystery, Sci-Fi, Thriller",A sci-fi melodrama about a man who tries to protect his beloved from a serial killer in a parallel universe.,"Yoon Shi-Yoon, Kyung Soo-jin, Lee Hang-na",
The Light in Your Eyes,Nooni Booshige,TV Series,2019,N/A,1h,12,1,N/A,7.8,1.3K,https://www.imdb.com/title/tt9466968/mediaviewer/rm1721919488/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2028061465/1434659607842-pgv4ql-1636719044588.mp4?Expires=1730701001&Signature=sUsuZ~9jqZd1tJzk5osmJvZFBTgbX5m5bbGuaka0X2zftfHIwXRFsxmi-juSxMI8AHBbjB0YCRUzY~92rSizDa0jDXLYzE6JgITrOxglPHioQve-517uy9b67yMvQp6daAiSqgWtEd8B7yb6Qw-bKlwGAo7n6XkmZju8IuhYe1la0UAyTRoEifrfszVcl~mXOCxLH4lmpIGyXjb5vdHOUtQgKagmEQvlqeFvckHCeQx5lGDajsBChPezu7xYf8diQSSwVRJtzpcbemsnL1F-yhFk4bP~yAbyjBSnjUo07HgwmKLFL5o1wUdaJlpvcdUbuGwOGCKEmo2DBQGaTBP0eA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Fantasy, Romance",This story is about a woman who loses all her time before she can use it up and a man who gives up all of his radiant moments and lives a lethargic life.,"Han Ji-min, Kim Hye-ja, Nam Joo-hyuk",Watch on Netflix (https://www.netflix.com/watch/81211166)
Doctor Prisoner,Dakteo Peurijeuneo,TV Series,2019,N/A,35m,32,1,N/A,7.6,1.3K,https://www.imdb.com/title/tt9863766/mediaviewer/rm2726210049/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2566832921/1434659607842-pgv4ql-1636534416158.mp4?Expires=1730703391&Signature=M13JAL01MmGtunCkcQL2m43oAk6ojUXIfoN-tkb1ZiNec69dHBm9DXuME65rpvpqcCJl0gYwXzBvP~HmaWOYRpIHMQWYdXuVC3Kctox6uoweJLFTe3pwore2wKRljVPBFLkgO6vrJsslRD~0dT5h0NCHPpEgkSCBvHTVgvhpE~j~8KOvcsF-dgnmxFtM-ULHYEYTPfBqvNz8gUJ8P4nmheOcrA9KX4kDHhznoZYoJnCBF5ELO3mUbZGuBP5pz0Pm6fN8y~Gamq4WbrP~oQRX~Pr-YIWWWrg75aWbHCf4QO22XDxinYFEmrkAXoIYjuV59JGDoeRtHpopHUewZeR7Tw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Mystery, Thriller","Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination.","Kim Byeong-cheol, Min Nam-koong, Nara",
Wonderful World,N/A,TV Series,2024,N/A,N/A,14,1,N/A,7.6,1.2K,https://www.imdb.com/title/tt31187621/mediaviewer/rm1386038017/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2913519129/1434659607842-pgv4ql-1709718657557.mp4?Expires=1730700537&Signature=Y2guydHl9rE8RF0ls5uarddx4zqdl~4b-25EeRhP3V60OonOgTreYslQbQZjAJNk54ArvvJubrXCbpK3c40MO9xOu-i2MXLor2PoB-3O6D9HTiudFS7UbMUD8i4ial41mgwkRQ8aBtq-24AgT-9PqZOTEh3PN~xuL6lzXn3skDAyUFolryUN~yylL-ZSFIBMxH48sUTzjxf2OcSTojX2eFlz~7ykhWMO6bQsu2IJlmjdiDVPExza2bHC4cbWIkvEYls7sHTn7XegidJK-YyR0b37SGSH2qygDxtlo8iOzMMtMBFeTJwMSr5Gms1ZR0kqdNCx23zKTcUU1~j8b2XEfQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Thriller","Psychology professor and writer Eun Soo Hyun's world shatters when her son suffers an unpunished injustice. Seeking vengeance, she unexpectedly discovers solace helping others embroiled in comparable cryptic cases.","Kim Nam-ju, Im She-mi, Cha Eun-woo",
The Law Cafe,N/A,TV Series,2022,N/A,1h 8m,16,1,N/A,7.4,1.2K,https://www.imdb.com/title/tt21827042/mediaviewer/rm4049994241/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3664560665/1434659607842-pgv4ql-1662108798838.mp4?Expires=1730700694&Signature=L0c6hEjMoK2jlIacdDDKZA3xfjI5tHhEqe4w-Xffydu-aZ-nlx0Xq22inOXnd6Paegydd8cfl1f4hZ10eoGKdIrhb16CYcOVhbvm8o74J3lpl2tp~JL-hu4MKZC3dNRK2bxw0prGmWvyrcbP4ZBTadJLcqZEU72qqsWXFo4vdS8CajkV7xdiR0bhq0FrUIgH~h8xwD6AIKq5vd7Z9lHI0y7F~Q6W1xsI5jfsrEw4xVB5JDqgNrSDllk~9H2E2caZDCr3Bw9uUznSMrgEBSafe7EHVK7V7WtCFS7dyIw9DKVW34BjBt8czdps-Qah5-3NditLMoUGmD0T8Vt6b8boFQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance",Kim Jung-ho quits being a prosecutor despite a promising future after discovering the dirty secrets of his prosecutor father. Kim Yu-ri is a strong-willed and righteous woman.,"Lee Seung-gi, Lee Se-yeong, Oh Min-seok",
Hyena,N/A,TV Series,2020,N/A,1h,16,1,N/A,7.6,1.2K,https://www.imdb.com/title/tt11534164/mediaviewer/rm3304883969/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi686867225/1434659607842-pgv4ql-1635485925965.mp4?Expires=1730701061&Signature=kl8P3zfJafT0NQPxIDzKg5HC2acaywMi2A4wTcsUid7Vxwrvl6ra4jNGeeLpYmm7vHcgDFNY-5fHEheRbgr7DgTij5aEPfdpKLIt7KPKix3Qrs64EMGHpeOms0xtra1q79aWZ-Ike9f2jN5KcCdHsO0Tp0YxHCHIG~0Xd9IcCQi0agefk0tR64ow7yWwoqcNU~TSfaqEicspwZSZ1hDgHVYgyyTrxe9jqCzivSpbQ11CST7wopcYMsUMmBpxtb1E4efsnrRvumYFDrUdRBT9eG~br5bDnaY3f8qbw1Aq18hm4pT~X4WpBoDCp3wcl2-sFiEgOifYyeoxUi9LmDrZkQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Legal Drama, Drama, Romance","'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society.","Ju Ji-hoon, Kim Hye-su, Lee Kyoung-young",Watch on Netflix (https://www.netflix.com/watch/81177545)
Tell Me What You Saw,N/A,TV Series,2020,N/A,1h,16,1,N/A,7.6,1.2K,https://www.imdb.com/title/tt11557904/mediaviewer/rm801342721/?ref_=tt_ov_i,N/A,"Mystery, Thriller",An eccentric genius profiler works with a detective with photographic memory and a police chief to go after a serial killer who was thought to be dead.,"Jang Hyuk, Sooyoung Choi, Ha Yoon",Watch on The Roku Channel (https://therokuchannel.roku.com/details/4f6d02d71e7651d7affe630ebf710cb8)
A Piece of Your Mind,Half of a half,TV Series,2020,N/A,1h 10m,12,1,N/A,7.3,1.2K,https://www.imdb.com/title/tt11505790/mediaviewer/rm3582574337/?ref_=tt_ov_i,N/A,"Comedy, Romance",A romance about an artificial intelligence (AI) programmer and classical recording engineer.,"Jung Hae-in, Chae Soo-bin, Lee Hana",
Find Me in Your Memory,N/A,TV Series,2020,N/A,35m,32,1,N/A,7.3,1.2K,https://www.imdb.com/title/tt11885790/mediaviewer/rm2606918145/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3741238041/1434659607842-pgv4ql-1636539604144.mp4?Expires=1730703673&Signature=CW5SPUX12fpW-mJ1PJQ19YKzhBbm~tWB7G1mqXvMGuMDARlTZ0X-GsaWN2hmX40tActKgX2IEnXObQUcXr3qjbQ1aXPyJgz8N5ty2YO5toBL2PTar2OhCkldZxk~NRfXK4wye8FX1hapmyTdU2JrHkz2HEyxn5FzqNwoBfzM9sS9sHXCokDbjSb5R9jlnTgolp252RifkRlTe-WSn8cfrmjN3jf7p81YHhl1H7gLjry28sWMFlBmws3qCNmO7zaozGtshkAXNgjzmSFcMEtLMS8xcKfFiJqFlCKPQuVKBY~dhW1rtT39jASiokjOYiW8dxZkhCm9bs6zXrfNzom00g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Fantasy, Mystery, Romance",A love story between a man who remembers every second of his life and a woman who forgot her painful past.,"Kim Dong-wook, Moon Ga-young, Lee Seung-joon",
Life on Mars,La-i-peu on Ma-seu,TV Series,2018,N/A,1h 5m,16,1,N/A,8.1,1.2K,https://www.imdb.com/title/tt8236544/mediaviewer/rm289754368/?ref_=tt_ov_i,N/A,"Crime, Drama, Mystery, Sci-Fi, Thriller","While investigating a serial murder case, Han Tae Joo gets into an incident. When he wakes up, he finds himself back in 1987. To get back to his present world, he must solve the murder case.","Jung Kyung-ho, Park Sung-woong, Ko Ah-sung",
The Scholar Who Walks the Night,Bameul geotneun seonbi,TV Series,2015,N/A,N/A,20,1,N/A,7.2,1.2K,https://www.imdb.com/title/tt4846958/mediaviewer/rm1701714432/?ref_=tt_ov_i,N/A,"Action, Fantasy, History, Romance","Jo Yang-sun disguises himself as a bookseller after the fall of his family. Meet Kim Sung-yeol, a vampire obsessed with his former love's double Choi Hye-ryung. The evil vampire Gwi conspires to deny the ascension of the Crown Prince.","Lee Joon-gi, Lee Soo-hyuk, Kim So-eun",
